,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
count,29465.0,29465.0,29465,28638.0,29465,29465,29465.0,29465.0,29465.0,29465.0,29465,29465.0
unique,,,4,,6,7,,,,,2,
top,,,RENT,,EDUCATION,A,,,,,N,
freq,,,14893,,5854,9774,,,,,24252,
mean,27.7147123706092,66020.47049041235,,4.788672393323556,,,9584.744612251825,11.011694892245037,0.2193789241472934,0.17010996097064315,,5.788257254369591
std,6.300193163052562,61901.42293174294,,4.154626670183414,,,6316.272281736811,3.2404594649559195,0.41383284551411054,0.10687903447988532,,4.031987297306395
min,20.0,4000.0,,0.0,,,500.0,5.42,0.0,0.0,,2.0
25%,23.0,38500.0,,2.0,,,5000.0,7.9,0.0,0.09,,3.0
50%,26.0,55000.0,,4.0,,,8000.0,10.99,0.0,0.15,,4.0
75%,30.0,79100.0,,7.0,,,12250.0,13.47,0.0,0.23,,8.0
max,144.0,6000000.0,,123.0,,,35000.0,23.22,1.0,0.83,,30.0
